question,answer,explanation,chapter
"Under pre-AIA § 102(e), a PCT application not published in English has no prior art date even if it later enters the U.S. national phase and issues as a U.S. patent.",True,"Per MPEP § 1857.01, if a PCT application was not published in English, it cannot establish a pre-AIA § 102(e)(1) prior art date, even if it later enters the U.S. national phase, publishes as a U.S. application, and issues as a U.S. patent. The resulting U.S. patent would only be prior art as of its actual U.S. filing date (national stage entry date) or under other provisions of pre-AIA § 102 such as § 102(a) or § 102(b).",1800 - Patent Cooperation Treaty
A PCT application entering the U.S. national stage under 35 USC § 371 has a pre-AIA § 102(e)(2) prior art date as of its international filing date.,False,"Per MPEP § 1857.01, a U.S. patent that issues from a PCT application entering the national stage under 35 USC § 371 does not receive a pre-AIA § 102(e)(2) prior art date as of its international filing date. Only the PCT publication might establish a § 102(e)(1) date if published in English and designating the U.S. The resulting patent would be prior art only under other provisions or as of its actual U.S. filing date.",1800 - Patent Cooperation Treaty
"Under the AIA, a PCT application that designates the U.S. is prior art under § 102(a)(2) as of its effective filing date, even if that date is a foreign priority date.",True,"Per AIA 35 USC § 102(a)(2) and MPEP § 2154.01(a), a PCT application that designates the U.S. is prior art as of its earliest effective filing date, which includes foreign priority dates. This represents a significant change from pre-AIA law, as foreign filing dates can now be used as prior art dates against U.S. applications if they serve as the effective filing date of a published PCT that designated the U.S.",1800 - Patent Cooperation Treaty
"Under the AIA, a PCT application must be published in English to be considered prior art as of its publication date.",False,"Per AIA 35 USC § 102(a)(1) and MPEP § 2154.01(a), a published PCT application is prior art as of its publication date regardless of the language of publication. The AIA eliminated the pre-AIA requirement that PCT applications must be published in English to be effective prior art. Any published PCT application is now 'available to the public' under § 102(a)(1) as of its publication date in any language.",1800 - Patent Cooperation Treaty
Filing fees for a PCT application must be paid at the time of filing to secure an international filing date.,False,"Per PCT Article 11 and MPEP § 1810, payment of fees is not required to secure an international filing date. The required elements are: an indication the application is intended as international, designation of at least one contracting state, identification of the applicant, a description, and at least one claim. Fees can be paid later, typically within one month of filing, though late fees may apply.",1800 - Patent Cooperation Treaty
Unity of invention in PCT applications is a more restrictive standard than the U.S. independent and distinct invention standard for restriction.,False,"Per PCT Rule 13 and MPEP § 1850, unity of invention in PCT applications is generally considered less restrictive than the U.S. 'independent and distinct' standard. Unity of invention requires a 'special technical relationship' among claims involving shared 'special technical features.' This standard often allows more diverse claims to remain together than would be permitted under U.S. restriction practice, resulting in fewer required divisional applications.",1800 - Patent Cooperation Treaty
"Under the AIA, a published PCT application that does not designate the U.S. cannot be used as prior art under § 102(a)(2) against a U.S. application.",True,"Per AIA 35 USC § 102(a)(2) and MPEP § 2154.01(a), only published applications that designate the U.S. can serve as prior art under § 102(a)(2). A PCT application that does not designate the U.S. cannot qualify under this provision. However, it's important to note that such a PCT application could still qualify as prior art under § 102(a)(1) as of its publication date, regardless of designation status.",1800 - Patent Cooperation Treaty
A protest against a pending patent application can be filed by a member of the public even if the application has not yet been published.,True,"Per 37 CFR § 1.291(a) and MPEP § 1901.01, a member of the public may file a protest in a pending application, even if unpublished, provided the protestor can either: (1) identify the application by application number, or (2) serve the protest under 37 CFR § 1.248 in an application that cannot be identified by application number.",1900 - Protest
A protest against a pending patent application may include evidence of prior public use or sale in the United States.,True,"Per MPEP § 1901.02, a protest may include any information that would be relevant to patentability, including evidence of prior public use or sale under 35 USC § 102. The evidence is not limited to prior patents and printed publications.",1900 - Protest
"When filing a protest, the protestor should submit only initial evidence and may supplement with additional evidence in subsequent submissions.",False,"Per 37 CFR § 1.291(c) and MPEP § 1901.02, a protest must be complete at the time of submission; protestors should submit all evidence relied upon in the initial protest, as subsequent submissions will not be entered unless requested by the examiner.",1900 - Protest
A protestor is entitled to receive copies of Office actions issued after the protest has been filed.,False,"Per 37 CFR § 1.291(c) and MPEP § 1901.05, protestors do not have access to the application file and do not receive copies of Office actions or any other notifications regarding the status of the application after filing a protest.",1900 - Protest
The protest program has been replaced by statutory reexamination procedures.,False,"Per MPEP § 1901, the protest program remains active and distinct from ex parte reexamination (MPEP § 2209) and inter partes review procedures. These are separate mechanisms with different purposes, requirements, and timing considerations.",1900 - Protest
Only registered patent practitioners can file protests against pending patent applications on behalf of third parties.,False,"Per 37 CFR § 1.291 and MPEP § 1901.01, any member of the public may file a protest; there is no requirement that the protest be filed by a registered patent practitioner, and individuals may file protests pro se.",1900 - Protest
A protest must include the name and address of the protestor to be considered by the Office.,True,"Per 37 CFR § 1.291(b) and MPEP § 1901.03, a protest must include the name and correspondence address of the protestor to be considered; anonymous protests will not be entered into the application file or considered.",1900 - Protest
"If a protest is properly filed in an application that is subsequently abandoned, the protest will still be considered if the application is revived.",True,"Per MPEP § 1901.01, a properly filed protest will be considered by the examiner when the application is taken up for examination, including after revival of an abandoned application, provided the protest was timely filed.",1900 - Protest
"A protest can be filed at any time during the pendency of an application, including after a notice of allowance has been issued.",False,"Per 37 CFR § 1.291(b) and MPEP § 1901.04, a protest must be submitted prior to the date the application was published or the mailing of a notice of allowance, whichever occurs first, unless the protestor had prior knowledge of the application.",1900 - Protest
"If a protestor can prove they had prior knowledge of an unpublished application, they can file a protest after the application is published.",True,"Per 37 CFR § 1.291(b) and MPEP § 1901.04, a protest may be submitted after publication if the protestor can prove that they had prior knowledge of the application and that the protest is being submitted prior to the notice of allowance.",1900 - Protest
"When filing a protest, the protestor may request an oral hearing to present arguments about the evidence submitted.",False,"Per MPEP § 1901, the protest procedure does not provide for an oral hearing by the protestor; it is a paper submission only, and the protestor has no right to participate in the examination process.",1900 - Protest
A protest must include a statement that a copy of the protest has been served upon the applicant or their attorney.,True,"Per 37 CFR § 1.291(a) and MPEP § 1901.03, when a protestor can identify the application by number, a statement that a copy of the protest has been served upon the applicant or their attorney is required, along with the manner of service.",1900 - Protest
"A claim in the application as filed is indefinite which initially refers to 'a screw' when the only basis for 'a screw' is shown in the original application drawings, and the scope of the claim is ascertainable by one skilled in the art.",False,"Per MPEP § 2173.05(o), a claim is not indefinite merely because it refers to elements shown only in the drawings. If one skilled in the art can ascertain the scope of the claim based on the drawings and specification, the claim satisfies the definiteness requirement of 35 USC § 112(b).",2100 - Patentability
"Where a range of '35 mg - 80 mg,' and specific examples of '40 mg' and '65 mg' are described in the original specification which was filed with a declaration under 37 CFR § 1.63, and an amendment changing the numerical range in a claim from '35 mg - 80 mg' to 'at least 42 mg' is filed after the application is filed, the amended claim is supported by the written description in the original specification.",False,"Per MPEP § 2163.05(III), a range with specific endpoints and examples within the range does not support a new range with an open-ended endpoint ('at least 42 mg'). While 42 mg falls within the original range, the open-ended range would encompass values above 80 mg, which wasn't originally disclosed and thus constitutes new matter.",2100 - Patentability
"The specification and claims of a utility patent application, as filed, do not describe a scanning device as having a specific angular view which is essential or critical to the invention. The generic claims in the application are amended for non-prior art reasons to limit the scanning device to having a specific angular view, and a patent is granted with the generic claims drawn to a scanning device having a specific angular view. A reissue application removing the limitations directed to the specific angular view is properly broadened and supported when filed by the same applicant one year after the patent issued.",True,"Per MPEP § 1412.03 and 35 USC § 251, a reissue application filed within two years of patent issuance can properly broaden claims by removing limitations that were not described as essential in the original specification. Since the specific angular view was not described as essential or critical in the original application, removing this limitation in a reissue application filed within the two-year statutory period is proper.",2100 - Patentability
"A claim in the application as filed is definite when it refers to not only a broad numerical range, but also to a preferred narrow range that falls within the broader range in the same claim, such as when referring to 'a pH range between 7 and 12, preferably between 9 and 10.'",False,"Per MPEP § 2173.05(c), a broad range or limitation together with a narrow range or limitation that falls within the broad range or limitation in the same claim is indefinite when the resulting claim does not clearly set forth the metes and bounds of the patent protection desired. The phrase 'preferably' renders the claim indefinite because it is unclear whether the limitations following the phrase are part of the claimed invention.",2100 - Patentability
"The scope of enablement required to support claims in a patent application varies inversely to the degree of predictability involved, but even in unpredictable arts, applicant needs to disclose every operable species.",False,"Per MPEP § 2164.03, while the scope of enablement does vary inversely with the degree of predictability involved, an applicant is not required to disclose every operable species. In unpredictable arts, more examples may be needed, but enablement of every species is not required if the specification provides sufficient guidance for one skilled in the art to make and use the invention without undue experimentation.",2100 - Patentability
"Where a range of '10 psi to 50 psi,' and a specific example of '42 psi' are described in the original specification which was filed with a declaration under 37 CFR § 1.63, and an amendment changing the numerical range in a claim from '10 psi to 50 psi' to 'between 35 psi and 45 psi' is filed after the application is filed, the amended claim is supported by the written description in the original specification.",True,"Per MPEP § 2163.05(III), a narrower range falling completely within an originally disclosed broader range can be supported by the original disclosure, especially when the new range encompasses a specific example (42 psi) disclosed in the specification. Since 35-45 psi falls entirely within the original 10-50 psi range and includes the specific example of 42 psi, the amendment is properly supported.",2100 - Patentability
"Publications dated after the filing date of an application providing information or the current state of the art first publicly disclosed after the filing date can supplement the disclosure in the application to make the disclosure enabling where the application did not disclose how to make or use the claimed invention, and claims in the application should not be rejected under 35 USC § 112(a) for lack of an enabling disclosure.",False,"Per MPEP § 2164.05(a), the specification must be enabling as of the filing date of the application. Information or knowledge that became available only after the filing date cannot be used to show that the application was enabling when filed. If the application did not disclose how to make or use the claimed invention at the time of filing, later publications cannot cure this deficiency, and the claims should be rejected under 35 USC § 112(a).",2100 - Patentability
"A claim in the application as filed is indefinite when a Markush expression is introduced by the term 'comprising,' for example, 'R is selected from the group comprising A, B, C and D.'",True,"Per MPEP § 2173.05(h), a Markush grouping is a closed group of alternatives. Using the transitional phrase 'comprising' in a Markush expression is improper because it creates uncertainty as to whether the claim requires only the listed members or permits additional, unlisted members. The proper format is 'selected from the group consisting of A, B, C, and D.'",2100 - Patentability
Claims in a reissue application amended to omit the 'in synchronism' limitation in the original patent disclosure and thereby permit the claimed invention to have scanning means and indexing means not 'in synchronism' are not supported by the original disclosure in the patent application describing the invention as having only scanning means and indexing means 'in synchronism.',True,"Per MPEP § 1412.01 and § 2163.05, a reissue application cannot claim subject matter not supported by the original disclosure. If the original disclosure described only synchronous operation as essential to the invention, amending claims to omit this limitation would introduce new matter by claiming an invention (asynchronous operation) not described in the original disclosure.",2100 - Patentability
Publications dated after the filing date of an application may not be used by the patent examiner to support a rejection under 35 USC § 112(a) that the application does not provide an enabling disclosure which is commensurate in scope with the claimed invention.,False,"Per MPEP § 2164.05(a), while post-filing date references cannot be used to show enablement exists when it did not at filing, they can be used to show the state of the art and what would have been considered undue experimentation. Later publications can be used by examiners to demonstrate that the disclosure was not enabling for the full scope claimed, particularly in unpredictable arts.",2100 - Patentability
"A claim in the application as filed is definite which initially refers to 'an aluminum lever,' and 'a plastic lever' and thereafter refers to 'said lever.'",False,"Per MPEP § 2173.05(e), where a claim refers to 'said' or 'the' element, and there are multiple antecedent elements that could be referenced, the claim is indefinite. Since the claim introduces both 'an aluminum lever' and 'a plastic lever,' subsequent reference to 'said lever' is ambiguous as it's unclear which of the two levers is being referenced.",2100 - Patentability
"Only one example in the specification of an application may provide enablement commensurate with the scope of the claims in the application, and if such enablement is provided, the claims should not be rejected under 35 USC § 112(a) for lack of an enabling disclosure.",False,"Per MPEP § 2164.02 and § 2164.06, while a single example can sometimes provide enabling disclosure, this is highly dependent on the predictability of the art and the breadth of the claims. In unpredictable arts or with broad claims, a single example is often insufficient to enable the full scope of the claims. The determination is case-specific, considering the Wands factors, rather than a general rule that one example is always sufficient.",2100 - Patentability
Disclosure of a specific utility of an invention and disclosure of a credible basis supporting the specific utility do not provide a basis for concluding that the requirements of 35 USC § 112(a) have been met where one of ordinary skill in the art must engage in undue experimentation to actually practice the invention.,True,"Per MPEP § 2164.01 and § 2107.01, disclosure of a specific and credible utility is necessary but not sufficient to satisfy 35 USC § 112(a). The enablement requirement is separate from the utility requirement. Even if an application discloses a specific and credible utility, if undue experimentation would be needed to practice the invention, the application fails to meet the enablement requirement of 35 USC § 112(a).",2100 - Patentability
"A claim in the application as filed is definite under 112(b) which initially refers to 'the lever,' or 'said lever,' when the claim contains no earlier recitation or limitation to a lever, and it is unclear as to what element the limitation is referencing.",False,"Per MPEP § 2173.05(e), where a claim refers to 'the' or 'said' element, there must be proper antecedent basis for that element. Using 'the lever' or 'said lever' without previously introducing 'a lever' in the claim creates an antecedent basis problem, making the claim indefinite because it's unclear what lever is being referenced.",2100 - Patentability
"Claims in a U.S. patent application directed to a broad genus of painkillers with numerous variations are not supported by a foreign priority application where the foreign priority application discloses only two species of painkillers within the broad genus, and not the broad genus per se.",True,"Per MPEP § 2163.05(I) and Federal Circuit precedent (e.g., In re Lukach, 442 F.2d 967), disclosure of a few species within a genus does not necessarily provide written description support for the entire genus. For complex chemical inventions like painkillers, disclosure of only two species without discussion of the genus as a whole would not typically provide adequate written description support for claims to the entire genus.",2100 - Patentability
A doctoral thesis shelved in a university library and indexed only by subject matter qualifies as a printed publication under 35 USC § 102(a).,True,"Per In re Hall, 228 USPQ 453 (Fed. Cir. 1986) and MPEP § 2128.01, a doctoral thesis that is accessible to the public and indexed in a meaningful way (such as by subject matter) constitutes a printed publication. Indexing by subject matter enables those interested in the subject to locate the thesis using reasonable diligence.",2100 - Patentability
A doctoral thesis indexed only by author name or graduating class qualifies as a printed publication under 35 USC § 102(a).,False,"Per In re Cronyn, 13 USPQ2d 1070 (Fed. Cir. 1989) and MPEP § 2128.01, indexing a thesis by graduating class or author name provides no meaningful relationship to the subject matter and would not allow interested persons to locate the thesis with reasonable diligence. Such indexing is insufficient to make the thesis a printed publication.",2100 - Patentability
"An oral presentation of research to members of the public constitutes a printed publication under 35 USC § 102(a), even if no written copies were distributed.",False,"Per In re Bayer, 196 USPQ 670 (CCPA 1978) and MPEP § 2128.01, oral presentations without distribution of written materials do not constitute 'printed publications' under 35 USC § 102(a). The term 'printed publication' requires some form of written dissemination.",2100 - Patentability
"The accessibility of a reference, rather than its physical form, is the critical factor in determining whether it qualifies as a printed publication.",True,"Per MPEP § 2128 and relevant case law, the key inquiry for determining if a reference is a 'printed publication' is whether it was accessible to the public interested in the art. The focus is on public accessibility rather than the particular form of the reference.",2100 - Patentability
"The use of exemplary phrases such as 'for example,' 'such as,' or 'for instance' in claim language renders a claim indefinite under 35 USC § 112(b).",True,"Per MPEP § 2173.05(d), examples and preferences in claims lead to confusion over the intended scope because it is unclear whether the claimed narrower range is a limitation. Phrases like 'for example,' 'such as,' and 'for instance' introduce ambiguity about whether the exemplified elements are required or merely preferred.",2100 - Patentability
A claim containing the phrase 'material like wool or acrylic' would be considered definite under 35 USC § 112(b).,False,"Per MPEP § 2173.05(d), the use of the word 'like' renders a claim indefinite because it makes the boundaries of the claim unclear. It's impossible to determine what materials would be considered 'like' wool or acrylic, making the scope of the claim uncertain.",2100 - Patentability
Market testing an invention to determine commercial viability is considered experimental use that can negate public use as a bar to patentability.,False,"Per MPEP § 2133.03(e)(6) and TP Laboratories v. Professional Positioners, 224 USPQ 549, testing to determine commercial acceptance or market demand is not experimental use related to the invention's functionality. Such use is commercial in nature and cannot negate a public use bar.",2100 - Patentability
"For experimental use to negate public use as a bar to patentability, the testing must be conducted under the supervision and control of the inventor.",True,"Per MPEP § 2133.03(e)(5), control by the inventor over the experiment is an important factor in establishing experimental use. Testing conducted under the inventor's supervision demonstrates that the use was for experimental purposes related to the invention rather than commercial exploitation.",2100 - Patentability
The necessity of conducting testing in public is a factor that supports a finding of experimental use rather than public use as a bar to patentability.,True,"Per MPEP § 2133.03(e)(2), if the nature of the invention requires public testing (e.g., a road surface or bridge), this supports the conclusion that the use was experimental. Courts recognize that some inventions cannot be adequately tested in private environments.",2100 - Patentability
"A claim containing the phrase 'normal process conditions, such as ambient temperature' provides clear boundaries for the scope of protection and would be considered definite.",False,"Per MPEP § 2173.05(d), the phrase 'such as' renders a claim indefinite because it creates confusion about whether the specific parameter (ambient temperature) is a required limitation or merely exemplary. Additionally, 'normal process conditions' is subjective and varies across different industries.",2100 - Patentability
"If a doctoral thesis is cataloged in a library's electronic database but not physically accessible to the public, it does not qualify as a printed publication.",False,"Per MPEP § 2128.01 and In re Hall, electronic accessibility can establish public availability. A thesis that is electronically cataloged and searchable may qualify as a printed publication even if physical access is limited, provided interested persons could locate it with reasonable diligence.",2100 - Patentability
Regular inspection of an invention during testing is a factor that supports a finding of experimental use rather than public use as a bar to patentability.,True,"Per MPEP § 2133.03(e)(5), regular inspection by the inventor during testing is indicative of experimental use. This demonstrates the inventor's active involvement in evaluating the invention's functionality and performance rather than commercial exploitation.",2100 - Patentability
"According to the Supreme Court in Association for Molecular Pathology v. Myriad Genetics, isolated DNA is patent eligible subject matter.",False,"In Myriad Genetics (2013), the Supreme Court held that naturally occurring DNA segments are products of nature and not patent eligible merely because they have been isolated. The Court distinguished between naturally occurring genomic DNA (ineligible) and synthetic cDNA (potentially eligible).",2100 - Patentability
cDNA is patent eligible subject matter even though it is derived from naturally occurring DNA.,True,"According to MPEP § 2105, the Supreme Court in Myriad held that cDNA is patent eligible because it is not naturally occurring but is created by lab technicians. However, cDNA that is identical to naturally occurring DNA (e.g., where no introns exist) would not be patent eligible.",2100 - Patentability
A 35 U.S.C. 103 rejection can be based on a prior art reference even if the reference is inoperative for its intended purpose.,True,"Per MPEP § 2121.02, a reference may be relied upon for all that it would reasonably suggest to one having ordinary skill in the art. The focus should be on what the reference teaches, not on operational difficulties. A non-enabling reference may qualify as prior art for the purpose of determining obviousness under 35 U.S.C. 103.",2100 - Patentability
The AIA completely prohibits patents on tax strategies.,False,"Per AIA § 14 and MPEP § 2106.01, tax strategies are deemed to be within the prior art, but the provision explicitly states this rule shall not be construed to apply to a method, apparatus, technology, computer program product, or system used solely for preparing tax or information returns.",2100 - Patentability
An invention must be totally inoperative to justify a rejection under 35 U.S.C. 101 for lack of utility.,True,"Per MPEP § 2107.01(II), the utility threshold is low. An invention that works only partially or crudely still satisfies the utility requirement. A 101 utility rejection is only appropriate when the invention is wholly inoperative and incapable of achieving any claimed or disclosed function.",2100 - Patentability
"During patent examination, the USPTO must apply the Broadest Reasonable Interpretation (BRI) standard when construing claim language.",True,"Per MPEP § 2111, examiners must give claim terms their broadest reasonable interpretation consistent with the specification. This standard differs from the 'plain and ordinary meaning' standard used in litigation and helps ensure the validity of issued patents.",2100 - Patentability
A perpetual motion machine would fail the utility requirement under 35 U.S.C. 101.,True,"Per MPEP § 2107.01(II), inventions that claim to operate in a manner inconsistent with established scientific principles, such as perpetual motion machines, fail the utility requirement because they lack credible utility and contradict known scientific principles.",2100 - Patentability
The transitional phrase 'comprising' creates an open-ended claim scope.,True,"Per MPEP § 2111.03, the transitional phrase 'comprising' is open-ended and does not exclude additional, unrecited elements or method steps. This contrasts with 'consisting of,' which creates a closed claim scope that excludes any elements not specified.",2100 - Patentability
A cloned mammal that is identical to its parent organism is patent eligible if the mammal was created through human technical intervention.,False,"Per In re Roslin Institute (Fed. Cir. 2014) and MPEP § 2105, a cloned animal that is genetically identical to its parent organism is not patent eligible under 35 U.S.C. 101, even if it required significant human intervention to create, because it does not possess markedly different characteristics.",2100 - Patentability
Printed matter with novel informational content is patent eligible if it has a functional relationship with its substrate.,True,"Per MPEP § 2111.05, the printed matter doctrine states that novel printed matter is only patent eligible when it has a functional or structural relationship with its substrate. Without such a relationship, the informational content alone does not impart patentability.",2100 - Patentability
Transitory forms of signal transmission are patent eligible subject matter.,False,"Per MPEP § 2106.03 and In re Nuijten, 500 F.3d 1346 (Fed. Cir. 2007), transitory forms of signal transmission are not patent eligible under 35 U.S.C. 101 because they do not fall within any of the four statutory categories (process, machine, manufacture, or composition of matter).",2100 - Patentability
"Under the Alice/Mayo framework for evaluating subject matter eligibility, the first step is to determine whether the claim is directed to a judicial exception, such as an abstract idea, law of nature, or natural phenomenon.",True,"Under the Alice/Mayo framework (MPEP § 2106.04), the first step is to determine whether the claim is directed to a judicial exception, such as an abstract idea, law of nature, or natural phenomenon. This corresponds to Step 2A of the USPTO’s subject matter eligibility analysis. Although the full USPTO test includes an initial check for statutory categories, that step is not part of the Alice/Mayo framework itself.",2100 - Patentability
"When determining if a published document is prior art, the critical date is when it was made available to at least one member of the general public.",True,"Per MPEP § 2128, a reference is considered publicly accessible (and thus prior art) when at least one person, who is not under a confidentiality obligation, could have accessed it. The critical date is when it was first accessible to the public, not when it was written or printed.",2100 - Patentability
The broadest reasonable interpretation standard used by patent examiners requires that claims be interpreted as broadly as possible.,False,"Per MPEP § 2111, BRI requires claims to be interpreted broadly but still reasonably in light of the specification as it would be interpreted by one of ordinary skill in the art. BRI is not an unrestricted license to interpret claims with limitless breadth.",2100 - Patentability
"Tax strategies are deemed to be within the prior art under the America Invents Act (AIA), rendering them unpatentable per se.",True,"Per AIA § 14 and MPEP § 2106.01, tax strategies are deemed to be within the prior art, whether known or unknown, effectively making them unpatentable under 35 U.S.C. 102 rather than treating them as ineligible subject matter under 101.",2100 - Patentability
Computer programs that implement tax strategies cannot be patented under the AIA.,False,"Per AIA § 14(c) and MPEP § 2106.01, while tax strategies themselves are deemed to be within the prior art, this provision explicitly does not prohibit patenting computer programs implementing tax strategies if they otherwise satisfy patentability requirements.",2100 - Patentability
A reference that is inoperative for its intended purpose cannot be used as prior art for a 35 USC § 103 obviousness rejection.,False,"Per MPEP § 2121.01, even if a reference is inoperative for its intended purpose, it can still be used for a 103 rejection if it teaches or suggests the claimed elements. The focus is on what the reference would teach to one of ordinary skill in the art.",2100 - Patentability
A reference published after an application's filing date can be used as prior art if it describes facts that existed before the filing date.,True,"Per MPEP § 2124, factual references that post-date an application can be used as evidence of the state of the art existing before the filing date. These references can provide evidence of what was generally known in the art at the time of filing.",2100 - Patentability
"For a utility rejection under 35 USC § 101, the invention must be shown to be wholly and completely inoperative.",True,"Per MPEP § 2107.01(II), an invention need only have a specific, substantial, and credible utility to satisfy 35 USC § 101. A utility rejection is only appropriate when the claimed invention is totally incapable of achieving any useful result.",2100 - Patentability
"Under the USPTO’s subject matter eligibility framework, the first step is to determine whether the claim is directed to a judicial exception such as an abstract idea, law of nature, or natural phenomenon.",False,"False. The first step under the USPTO’s framework (MPEP § 2106) is to determine whether the claim is directed to a statutory category—process, machine, manufacture, or composition of matter. The analysis of judicial exceptions (Step 2A) comes only after this threshold statutory check is satisfied.",2100 - Patentability
"If the applicant files all required national stage documents before the 30-month deadline but does not request early entry, the USPTO will begin treating the application as a U.S. national stage application immediately.",False,"False. Under MPEP § 1893.01(a), unless the applicant expressly requests early entry, the USPTO will wait until the 30-month deadline before treating the application as a U.S. national stage application, even if all materials were filed earlier.",1800 - Patent Cooperation Treaty
"When the Board issues a new ground of rejection in its decision, the applicant may respond by filing an amendment under 37 CFR § 1.111 to reopen prosecution before the examiner.",True,"True. Per 37 CFR § 41.50(b) and MPEP § 1214.01, when the Board issues a new ground of rejection, the applicant may respond by filing an amendment or new evidence under 37 CFR § 1.111, which reopens prosecution before the examiner. This is one of two options available—the other being a request for rehearing under 37 CFR § 41.52.",1200 - Appeal
"When the Board issues a new ground of rejection in its decision, the applicant may respond by filing an amendment under 37 CFR § 1.111 to reopen prosecution before the examiner.",True,"True. Per 37 CFR § 41.50(b) and MPEP § 1214.01, when the Board issues a new ground of rejection, the applicant may respond by filing an amendment or new evidence under 37 CFR § 1.111, which reopens prosecution before the examiner. This is one of two options available—the other being a request for rehearing under 37 CFR § 41.52.",1200 - Appeal
"When the Board issues a new ground of rejection, the examiner may issue a Supplemental Examiner's Answer responding to the applicant's arguments.",False,"False. Per MPEP § 1207.05, a Supplemental Examiner’s Answer is not appropriate when the Board enters a new ground of rejection. The applicant must either reopen prosecution under 37 CFR § 1.111 or request rehearing under 37 CFR § 41.52.",1200 - Appeal
"If the applicant chooses to request rehearing after a new ground of rejection is issued by the Board, the request must specifically address the new ground.",True,"True. Per 37 CFR § 41.52(a)(1) and MPEP § 1214.03, a request for rehearing must address each point of law or fact that the applicant believes the Board misapprehended or overlooked, including any new ground of rejection.",1200 - Appeal
An applicant must respond to a new ground of rejection by the Board within two months from the date of the Board’s decision.,True,"True. Under 37 CFR § 41.50(b), the applicant has two months from the date of the Board’s decision to respond to a new ground of rejection by either reopening prosecution or requesting rehearing.",1200 - Appeal
"If the applicant does not respond to a new ground of rejection by the Board within the permitted time, the application is returned to the examiner for issuance of a Notice of Allowance.",False,"False. Per 37 CFR § 41.50(b) and MPEP § 1214.01, failure to timely respond to a new ground of rejection results in abandonment of the application, not allowance.",1200 - Appeal
"When a reexamination request is denied because no substantial new question of patentability was raised, the requester is entitled to a refund of a significant portion of the reexamination fee.",True,"The USPTO provides a partial refund when a reexamination request is denied. Under 37 CFR 1.26(c), a portion of the reexamination fee will be refunded if the Director decides not to institute reexamination. This refund policy acknowledges that substantial USPTO resources are only expended when reexamination is actually conducted, not merely when reviewing a request that is ultimately denied.",2200 - Citation of Prior Art and Ex Parte Reexamination of Patents
"If the USPTO denies a request for ex parte reexamination finding no substantial new question of patentability, the third-party requester may appeal this decision to the Patent Trial and Appeal Board.",False,The denial of a request for ex parte reexamination is a final agency action under 37 CFR 1.515(c) that is not subject to appeal or judicial review. The requester has no standing to participate in the examination process once a request is filed and cannot appeal a denial. This differs significantly from inter partes review where requesters have participatory rights throughout the proceedings.,2200 - Citation of Prior Art and Ex Parte Reexamination of Patents
"In an ex parte reexamination proceeding, the two-month response period for replying to an Office action can be extended by filing a request for extension of time showing sufficient cause under 37 CFR 1.136(a).",False,"In an ex parte reexamination proceeding, the two-month response period for replying to an Office action cannot be extended using 37 CFR 1.136(a); instead, extensions of time must comply with the procedures set forth in 37 CFR 1.550(c), which requires a showing of “sufficient cause” and payment of a specified petition fee. The use of 37 CFR 1.136(a) for extensions of time is expressly not permitted in reexamination proceedings.",2200 - Citation of Prior Art and Ex Parte Reexamination of Patents
"Once a reexamination request has been granted, the examiner is permitted to reject claims based only on the prior art patents and publications cited in the reexamination request.",False,"While reexamination is limited to prior art in the form of patents and printed publications, 37 CFR 1.552(a) clearly states that reexamination is not limited to the patents and publications cited in the request. After reexamination is ordered, the examiner may consider any patents or printed publications, including those newly discovered by the examiner or newly cited by any party. However, rejections cannot be based on other forms of prior art such as public use or on-sale activities.",2200 - Citation of Prior Art and Ex Parte Reexamination of Patents
A third-party requester who files a reexamination request may subsequently withdraw the request and receive a partial refund if the examiner has not yet made a determination on the request.,False,"According to MPEP 2213 and 2214, once a request for reexamination has been filed, the request itself cannot be withdrawn by the requester under any circumstances. The request becomes part of the official file and the reexamination proceeding must follow its statutory course. Furthermore, 37 CFR 1.26(c) only provides for refunds when reexamination is denied by the Director, not when a requester attempts to withdraw a pending request.",2200 - Citation of Prior Art and Ex Parte Reexamination of Patents
A request for ex parte reexamination can be properly based on evidence of prior public use or on-sale activities without supporting patents or printed publications.,False,"Reexamination is strictly limited by statute to patents and printed publications as stated in 35 USC 302 and implemented in 37 CFR 1.510(a). The regulations explicitly require that the request be based on 'prior art consisting of patents or printed publications.' Other forms of prior art, such as public use, on-sale activities, or non-publication evidence cannot form the basis for reexamination. This is a fundamental limitation of the reexamination process that distinguishes it from other post-grant proceedings.",2200 - Citation of Prior Art and Ex Parte Reexamination of Patents
"If a patent owner fails to respond to the first Office action in a reexamination proceeding within the two-month period, the patent will be treated as abandoned in the same manner as a non-responsive application.",False,"In reexamination proceedings, failure to respond to an Office action does not result in 'abandonment' as with regular applications. Instead, under 37 CFR 1.550(d), the examiner proceeds with the reexamination without the patent owner's input, which may result in claim cancellation or confirmation. The patent itself is not abandoned; rather, the owner's right to participate in that stage of the proceeding is forfeited. This reflects the public interest in resolving patentability questions even without owner participation.",2200 - Citation of Prior Art and Ex Parte Reexamination of Patents
